Rating,MRP,Brand,Operating_System,RAM,Display_inchs,RAM_Type,Processor,Disc Size,Disc Type
4.2,29980,ASUS,Windows 11,4 GB,11.6,DDR4,Intel,128GB,SSD
4.2,41600,DELL,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.3,61986,ASUS,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.3,38999,HP,Windows 11,8 GB,15.6,DDR4,AMD,256GB,SSD
4.3,31990,Lenovo,Windows 11,4 GB,14,DDR4,Intel,256GB,SSD
4.1,46990,ASUS,Windows 11,8 GB,15.6,DDR4,Intel,512GB,SSD
4.1,37990,Infinix,Windows 11,8 GB,14,LPDDR4X,Intel,512GB,SSD
4.5,61490,acer,Windows 10,8 GB,15.6,DDR4,AMD,1TB,HDD
4.6,109990,HP,Windows 10,16 GB,15.6,DDR4,AMD,1TB,SSD
4.2,54990,HP,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.0,50990,Lenovo,Windows 10,8 GB,14,DDR4,AMD,512GB,SSD
4.2,62190,MSI,Windows 10,8 GB,15.6,DDR4,Intel,1TB,HDD
4.0,24390,ASUS,Chrome,4 GB,15.6,LPDDR4,Intel,64GB,SSD
3.9,36990,Lenovo,Windows 11,8 GB,15.6,DDR4,Intel,1TB,HDD
4.6,159990,HP,Windows 10,16 GB,15.6,DDR4,AMD,1TB,SSD
4.0,34490,ASUS,Windows 11,4 GB,14,DDR4,Intel,256GB,SSD
4.4,99990,ASUS,Windows 11,16 GB,16.6,DDR4,AMD,512GB,SSD
4.4,79990,ASUS,Windows 11,8 GB,13.3,LPDDR4X,Intel,512GB,SSD
4.1,41490,HP,Windows 11,8 GB,15.6,DDR4,Intel,1TB,HDD
4.3,206581,DELL,Windows 11,16 GB,15.6,DDR5,AMD,1TB,SSD
4.3,59990,ASUS,Windows 11,8 GB,15.6,DDR4,AMD,512GB,SSD
4.3,62990,acer,Windows 11,16 GB,15.6,DDR4,Intel,512GB,SSD
4.4,62990,ASUS,Windows 10,8 GB,15.6,DDR4,AMD,1TB,HDD
4.5,61990,Lenovo,Windows 10,8 GB,15.6,DDR4,AMD,512GB,SSD
4.0,105990,ASUS,Windows 11,16 GB,15.6,DDR5,AMD,1TB,SSD
5.0,155490,acer,Windows 11,16 GB,15.6,DDR5,Intel,1TB,SSD
4.3,19990,Ultimus,Windows 11,4 GB,14.1,LPDDR4,Intel,128GB,SSD
